ident,age_enq,ageact,act_lab,act
102,65,16,Activité,1
102,65,24,Activité,1
102,65,26,Activité,1
102,65,27,"inactivité autre, foyer",4
102,65,60,retraite,7
113,62,14,"études, formation",5
113,62,19,Activité,1
113,62,38,Activité,1
113,62,49,Activité,1
113,62,50,Activité,1
127,50,19,Activité,1
127,50,26,chomage,2
127,50,27,Activité,1
127,50,28,Activité,1
127,50,29,Activité,1
127,50,30,Activité,1
132,63,17,Activité,1
132,63,25,Activité,1
132,63,26,Activité,1
132,63,27,Activité,1
132,63,30,Activité,1
132,63,34,Activité,1
132,63,35,Activité,1
132,63,46,Activité,1
132,63,47,Activité,1
132,63,49,Activité,1
132,63,56,Activité,1
132,63,57,Activité,1
132,63,60,retraite,7
